text,emotion
i shouldn t have been surprised by the amount of courage that these men had but i can t help but feel slightly shocked by it,1
i remember feeling equally dazed and road rollered when the twins came home and that was with the pee and poo all neatly tied up in diapers,1
i feel dissatisfied and no matter how selfish i am or how much about me i make saturday it s never enough,4
i feel nothing through long stretches of time im convinced nothing has worked,2
i left feeling slightly dazed confused and disappointed,1
i got home feeling extremely sleep deprived and spent a week getting caught up on all the different post conference emails and phone calls not to mention sleep and laundry,0
when i was cycling past a parked car someone opened the door and nearly pushed me off my bike and into the traffic,5
i am sitting here feeling a bit grumpy moanday blues anyone else feeling this way too,4
i can t take medication because its triggering i have to be really at the point of i can t stand what i m feeling anymore just so i can get past that barrier but medicine has me afraid of vomiting,5
i no longer feel disadvantaged by my ethnicity and the fact that the majority of gay men are racist and dont wanna date asians,0
i dont know why but i feel uncomfortable in front of people who flaunt their strength or their accomplishments,5
i cant help feeling curious you know after all ive heard,1
ive fallen asleep embracing a person but never a book and we both woke up this morning feeling kind of awkward about it,0
i dun feel blamed,0
im wrong but i have a feeling the studio was reluctant to give clint money to fund a movie from the perspective of the japanese,5
im feeling a bit nostalgic about this flashback friday entry because i realise how different things are today,3
i feel i am suffering from a bad case of i only want to nap,0
i feel remorseful about leaving food behind and make an effort to eat at least half of it but after stuffing myself at fruits parlor and eating this hamburger steak and all,0
i would hate to feel unwelcome,0
i thought about it a lot this weekend because i watched the fault in our stars which is about two kids who have cancer so that made me feel really weird and anxious,1
i feel like if this was a longer book i would have liked it more,3
i look around at the people around me and i feel almost slightly envious about how they have a way of motivating themselves sitting down and studying so hard,4
i feel bitter and jealous,4
i drove to class i was feeling a little apprehensive but still no sweat,5
i feel i am more blessed than i can ever say,3
i have a feeling that i should post some sort of content on here for you blog hoppers to possibly comment about,2
i feel so peaceful so i know i made the right decision,2
i still feel mentally in the game but a string of unfortunate events most i haven t written about had me sitting on the sidelines temporarily,0
i feel caring concern for ron and especially for his wife who i feel very close connections with,3
i am feeling more generous though i see it for what it is someone who doesn t know what we are going through from the insdie and is desperate to be helpful in some measure,3
i did it i survived our very first big kid trauma though i still feel shaken by the whole event,5
i know he loves me and showers me with graces so i never need to feel unloved rejected or a lack of anything not time or things or money,0
i feel like i smell pretty after i use it,2
i feel so strange with english right now,5
i feel kind of strange,5
i enjoy all of these aspects of my life it is hard at times to not feel completely overwhelmed,1
i was telling her about how i was feeling a bit homesick,0
i feel that the session was useful and gave me tools i need to move forward in my life,2
ive ever invented hail ember and flake are probably the three that are the most me so this story feels especially vulnerable,5
i get that sick feeling like the one you get when you hear that someone passed away and youre shocked and lightheaded and i realize hes really gone forever,1
i feel invigorated as i am one,2
im feeling a tad bit gracious,2
i thought having a well respected and recognized mother of autistic boys would be the perfect guest blogger with a message i feel passionate about,3
i feel like parts of me that were repressed and buried for so long are just now surfacing,0
im just hoping i can walk by then because my thighs are not feeling at all friendly today,2
im feeling festive,2
i used to get the worthless feeling like i said previously my gear was going on ebay but now catch or not i m not bothered it is all about having a go i think a little more when fish are thin on the ground but not dejected or angry,4
i feel so glad that i have a cool mama,2
im sure they feel the more caring loving people in the kids lives the better,3
im thinking of locking myself in my house until i manage to get it all organized but i have a feeling i may become as cranky and isolated as this dear friend a href http,4
i would feel a violent stab of loneliness,4
i believe just imagining what it would be like to act live in front of an audience will make me feel joyful,2
i am currently feeling i wouldnt surprised if its flipped again,1
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,4
i feel very pretty and i have a really cute outfit on with some pretty costume jewelry,2
i feel like im more hated than celebrated and i cant wait till the day i can say i made it,4
i was still feeling a bit unsure a bit not convinced still a bit frustrated,5
i ignored her minor tantrum and jumped down from the table beginning to pace again and feeling agitated,5
im a huge fan of both london grammar and disclosure so in my eyes this is just a perfect collaboration and it definitely helps to make me feel creative,2
i love sunshine havent had much but the feeling of it on my shoulders as i walk around the yard is amazing,1
i feel like this is another one of those dresses that looks really cool from far away but when i take a closer look i dont like it as much,2
i feel so uncertain about everything right now,5
i feel a bit tortured right now,5
i dont know who i like i feel so bitchy and flirty,4
im currently feeling way fucked up with the mother tongue paper,4
i feel that this community s most beloved living our lives gold or silver nest as their grass nest long time ago our house is divided now called the commercial housing,3
i feel nostalgic to travel away from my country my family and my friends not because i dont like them,3
i was feeling quite impressed with myself for taking just eight months to finish just the lyrics for one fairly simple though sufficiently tortured emo song,1
i am always feeling hot i am hot to the touch,3
i am feeling nostalgic more than anything,3
i feel weird sharing that but this is the source of some of my greatest insecurities,1
i feel resentful ungrateful negative fearful i feel i navigate through my days as a dead weight that just floats around doing things but i am not engaged,4
i feel numb burn with a weak heart so i guess i must be having fun the less we say about it the better make it up as we go along feet on the ground head in the sky its ok i know nothings wrong,0
i went home from the bar and crashed at waking up at this morning feeling mostly fantastic,2
i was feeling pretty grumpy at this point but for whatever reason seeing this flower made me very happy,4
i suppose that is how a lot of things feel when you are not feeling well,2
i feel like im single handedly supporting the tissue industry at the moment,3
i wake up in the morning and i have been having sexy dreams for i feel very horny and in need of a fuck,3
i accidentally feel the mood and jumped into blogspot then what surprised me was for over views lol,1
i feel like a woman should be respected at all times therefore i made the right decision he said,2
i am feeling irritable cranky often,4
when my mother was seriously ill and had to be admitted to the hospital,5
i found that the price of staying and feeling gorgeous has sky rocketed so i decided to take my own personal experiences and use them to give fellow students and other people on a budget a helping hand,2
i love to add just a little milk and when i m feeling especially naughty a splash of caramel and vanilla syrup but shhh,3
i feel so sympathetic embarrassed for betty here that it s tough to watch,3
i feel surprised by how down it makes me,1
i am feeling a little lost without it,0
i think like all australians i know the image so well it will be interesting to see how i feel when were there and yes lovely kay we are going to view it at sunrise,3
i suddenly feel that this is more than a sweet love song that every girls could sing in front of their boyfriends,3
i was annoyed this particular day as it seemad that the odds were not in my favour my grandfather added fuel to the fire,4
i swallowed my feelings trusting him,2
im feeling funny a href http,1
i would also hate for you to feel i was selfish in my decision,4
i was feeling frustrated and tired today,4
i got a little bit of help from my brother at the beginning and lots of lucks near the end of the game which might make you feel dumb at least it did that to me hahaha and at the end you have to decide nikos and the worlds fate to save niko or to save the world,0
i try and try to keep up with other bloggers and read whats scheduled so that my review goes up close to when everyone elses does but im tired of feeling rushed tired of the pressure that i put upon myself,4
i feel a bit funny actually,1
i just do it to keep up with ian but really i feel shitty about it and wish i could just date ian,0
i feel this triumphant pride as i stand at the counter like i am achieving some high level male honor because i am a female doing this a redhead to boot,2
i was feeling this really weird sense of isolation that would have creeped me out pretty bad if i was alone,1
i see lyman i just feel more and more amazed about us,1
i suggest you give it a listen i feel like i am blessed,3
i feel so unimportant today,0
i winced and said that does not feel funny,1
i feel as if it was a way of distracting me from my positive thoughts and i had to work really hard to switch my thoughts around today but i did it,2
i finally realized that all i needed was to be and feel useful and blogging allowed me to do that,2
i feel deeply disturbed that another mother would condemn me and other mothers like me for finding fulfillment in being a mother,0
im feeling a bit shaken but not stirred nice bond reference ehh,5
i know i have my family and friends and god but some point in your life in my life i want to feel romantic love again,3
i feel uncertain about everything,5
this happened when i could not get into the school i had initially wanted,4
i think i still will be when they arrive and that makes me stress and makes me feel so unhappy,0
im all too familiar with as it leaves me feeling lost and off any form of solid ground,0
i feel ungrateful and i know i feel ungrateful and i hate myself for feeling ungrateful hellip and yet i don t get that last bit,0
i searched long and hard for a bad review telling me that i shouldnt buy into something i feel so apprehensive about but i only found that people loved and swore by f,5
i didnt respond because i feel that some days i cant just put on a fake smile and pretend like life is great and not let the negativity creep in,0
i feel as if im in some strange catholic vortex,1
i think i brag and it feels strange because i still see myself as a little fattie pre teen unworthy of any male attention,1
i feel like at the moment with all the things to do and worry about and organise and because he is so supportive i have let myself forget to give him the attention he deserves,3
i feel that i was damaged by gt gt gt religion and i will not let that happen to any children of mine,0
i could barely leave the house and i was feeling a lot of isolation and i hated the lack of control i had over my own life because everyone else i knew was moving on with theirs,4
i answered feeling rather skeptical,5
i feel really wimpy saying it but,5
i always get questions about blocking in my classes and its a topic i feel pretty passionately about as a knitter and as a teacher,2
i could feel the gloomy london fog and the oppressive tropical heat even though i was on vacation in oregon,0
i felt happy when i received the letter telling me that i had been admitted to the university,2
i feel as if i havent been very productive over the past six months,2
i care about someones emotional spiritual and intellectual progress to the point where i feel like i should exert myself in that progress and its important to me that is love,2
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,4
i feel gentle hands careess me with tender care across my curled shoulders and pulled towards embrace the sun reaches towards my searching face,3
im definitely feeling remorseful about,0
i want to get up in the mornings feeling excited about going to work instead of wanting to hit the snooze button,2
im feeling hot already after tackling the front hedge,3
i was feeling very vulnerable and down no one really close to me has ever died before i either hadnt known them very well or was too young to remember,5
i feel that the director editor missed a teachable moment when tiphany makes her comments about it being nice to feel like everyone else,0
i know these feelings premonitions and so on could simply be the product of my own troubled subconscious grabbing my conscious attention for a bit,0
i remember feeling a bit confused and really questioned her saying that to me,5
i may give up much sooner than my days if i feel like im gonna die but ive been curious for a while,1
im so going to end up feeling slutty and be like ah,3
i went for the large double double along with a chocolate chip muffin i was feeling dangerous,4
i don t feel like i am dissatisfied because i don t have things i think i am dissatisfied because not much is changing in me and i still feel bad at times,4
i do feel that they are greedy and money hungry absolutely,4
i am concerned that my gut feeling about not dropping aol that quickly about not trusting verizon was not just paranoia,2
i feel like if people see the chinks in my armor they re going to decide that i m this fucked up person dismiss me as a hot mess and not want to be around me anymore,4
i do make myself feel kind of intelligent and inspired sometimes,2
i feel i am shy and i am afraid of keeping my point of view,5
i feel overwhelmed and i want to forget it all,1
i reckon this is fair enough yes the queen is their monarch but they are so geographically removed from her and her presence that i appreciate that many australians may feel more loyal to their country and own communities than to the queen herself,3
i feel about not having the precious moments that nursing brings,2
i am supposed to feel doubtful but i still think i forget sometimes how amazing it is that i am living in this city and that i get to work with such inspiring young women at my internship,5
i dont know if i feel this way because i live in la and id rather be somewhere else or if its because im stressed about money work or if im just in need of a hug,0
i say that i feel like im hated,4
i speak of friends online who drop me from friends lists i feel unloved and disregarded,0
i wanted it to feel like all these fabulous people at an incredible party fell asleep and when they woke up the place had been a bit overtaken with lush florals and greenery,2
i feel like i m living in a strange world my wife s paternal grandmother often said,1
i was a tad more jaded stopping the booth rep from reciting his memorized spiel by mentioning that i had been following the unit for a year but came away feeling pretty impressed,1
i feel like im giving them a story to tell to their friends and family which is funny because growing up i anticipated to be the one to travel and spontaneously meet an erratic person that swoons me with their life stories,1
i love it when i feel hot and beautiful and sexy,3
i haven t yet experienced the totality of this is that i am getting to use my gifts again without feeling like someone is threatened jealous or competing against me,5
i really can carry a grudge for a long time against those i feel have wronged or hurt me in someway whether they are aware of it or not,4
i feel irritated to have missed out direct instruction from master lee is never to be passed up casually i have to admit my body just feels like it needs the rest,4
i feel a bit triumphant about that,2
i feel very reluctant to have to walk through,5
i am feeling brave and lucky kind of like my heart is breaking and im falling in love all at the same time,2
i feel assured thankk god,2
i feel neglectful but i shouldnt,0
i still feel so agitated,4
i feel that someone has wronged me in some way its impossible sometimes hard for me to get past it without an apology from the guilty party,4
i found working out of detroit specialized in christian literature lol im feeling a little grouchy tonight,4
i stop feeling so mad i ll stop behaving like this,4
i am still working through the guilt of feeling selfish for self preservation without the justification that i must survive to bring up my babies,4
i start to feel groggy as if i have been drugged,0
i feel sympathetic toward him he is always suffering through a million responsibilities,3
im feeling much more positive about the impending move,2
i think the main benefit here is that it wets the surface giving even the earliest strokes something to play against and it also helps get my ass into the deep end of the pool if i am feeling hesitant about where to begin,5
im feeling a bit bitchy tonight so i will be,4
i feel the weight of my single dom pulling me under like a dangerous rip tide that is relentlessly surrounding every inch of my body,4
i had been out of sorts and feeling a bit isolated,0
i acted like a little girl by acting cute towards you asking if you wanna share a diary with me amp you said youre still feeling pissed and you want me to stop adding the problems and make things hard for us,4
i want to feel amazed a little more often,1
a gigantic spider climbed over my face and what is more in my own flat,4
im feeling playful google doodle of pac man game,2
i know that tenge will get me to and from almost anywhere so if i am feeling impatient i offer more,4
i didnt feel as amazed as i expected their nail area is quite small and isnt very posh and cushy like i hoped,1
i feel like i havent been as compassionate toward him as i should be,3
i feel incredibly sarcastic right now,4
i feel very excited for my familys future,2
i also feel its a transition piece for me still sweet and classy adding that touch to my more goth punk rebellious style im falling into lately,2
i feel funny without,1
i cant help feeling ugly,0
i find myself smiling at their feelings towards me and almost feeling affectionate towards them,3
i mean people are discussing things about which they feel passionate,3
ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,2
i feel my heart is in your hands your love is all that i demand so give me a chance to show you sweet romance a href http creativecommons,3
i feel like im the mad hatter rather than alice,4
i feeling shy,5
i woke up feeling amazed and then i realized that a dream is still a dream,1
i need to get a job but due to my very silly head i dont really know what i feel passionate about anymore nor do i know what drives me,3
i did that at the recent french open with the claret jug so i now feel somewhat reluctant i got close to the claret jug in france as i felt afterwards i want to be able to do that till hopefully win the open and then get to bond it for the next twelve months,5
i won t do any weights till i feel more lively,2
i am supposed to go about being strong when i feel so inhibited,0
i spent my days crying with the newborn throwing him in the carseat running kids everywhere dealing with a naughty toddler getting little sleep and generally feeling crappy,0
i start to feel frantic where are the candles the matches the one flashlight thats actually ashers bug light no fans in the house move beds outside boys in the bath dont touch the candles goodbye meat in the fridge,5
i feel restless otherwise known as useless or lazy when i take long breaks from writing,5
i wish i would feel blessed all the time and remember what i do have but for some reason it wears on me all the time and so i need that reminder through the year,3
i feel weird in the companies of those who approve and disapprove of dot com marriages,1
i feel innocent and free again,2
im feeling especially lonely,0
i plan to run miles in the morning which is a distance that generally leaves my bunion feeling extremely tender and painful,3
i feel my readership has been severely damaged to the point where it will take a very long time to build it back up,0
id love to know in the comments i feel like its a funny thing but i always love reading about how people schedule their days,1
i remember moments of feeling lost or hopeless when i was younger,0
i know you are stronger than me for anythings else in you life and you can heal so faster like right now i think you already feel ok about it,2
i begin to feel terribly rude and that causes me to become depressed,4
i am feeling fearful or upset about any situation in my life i have only to notice my reminder sitting right before me and i begin repeating this affirmation over and over again,5
i feel for the tender teenager who i fear may have developed a life long aversion to pie but i confess i tip my hat to julie s grandmother,3
i wish i can wake up and find peace see little kids flying their kites catch hope and not only feel it but taste how delicious a four letter word can give me the shelter i need,2
i may be having a constant dullness and heaviness over my heart that makes me feel restless bored and unsatisfied however i know very well that such feelings are evoked by the time of the month,5
i want to feel pain in my chest when something terrible happens and i want to cry happy tears when something good happens,0
i know about have to do largely with the fact that any feelings romantic or sexual i have successfully hidden from myself,3
i feel a little calmer im more irritable and impatient than before,4
i would feel like i am doomed to repeat history once more,0
ill feel even more pressured,5
i don t really feel like doing much but maybe something gentle,3
im feeling a little romantic,3
i realised something was wrong when i started to feel everyone hated me and was saying things about me and only wanted to talk to me because they pitied me,4
im feeling less annoyed with him,4
i kind of struggled with it though and didnt feel like it was super powerful,2
im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,1
i will pay a month for months and feel shame every time i grill a hot dog from that point on,3
i feel like i missed my calling id be a damn good special ed teacher,0
i crave as i fall into submission and i did not feel submissive in the least,0
i was feeling like amy winehouse and planning my own trip to the betty ford clinic upon my less than triumphant return to australia,2
i hate that feeling when im about to do something then i get scared and almost turn around and walk away,5
i feel as though this was a project we missed in february or last years february,0
i honestly believe those darker days are the reason i push so hard to be someone of worth in my future i feel it is my duty to make up for all the time i lost,0
i feel honoured that my clients walk through my doors sometimes for the very first time and trust me with their brand new one week old bundles of joy,2
i did this especially feels strongly at the moment with gina who just died but had as fucked up as a family as you could ever imagine and wrote me letters during my misgivings and insecure times about how my love was enough,4
i dont say anything because i dont want to cause a fuss and i hate it when people feel sorry for me,0
i feel like i got in at that sweet spot before everyone realizes how messed up everything really is,3
i feel for you you guys who been insulted ill treated lathi charged at the grounds,4
i remember feeling overwhelmed and noted the particular smell off the city mostly cigarettes and people with wafts of charred something,1
i see each time you is what feel i am very anxious to to living to eat you,5
i had always dreamed of doing and it was a good feeling a fantastic feeling to be able to give them this,2
im feeling a little less jaded,0
i dont want to approach this topic too lightly but at the same time i feel apprehensive putting it all out there,5
i have a feeling im going to be heartless,4
i feel like the saddest most pathetic piece of shit on this planet,0
i feel reluctant to join the class trip to beijing,5
i keep in the fridge and take out whenever i feel too hot spray on my face and it cools me down immediately let alone it smells like oranges,3
i would have wasted time and money and i just feel really pressured because i dont want to do that,5
i was transferred to the operating bed i began to feel a little apprehensive,5
i don t talk about it a lot but a majority of my time is spent at work and at work i m feeling generally unhappy lonely frustrated and even a little bitter from past events that just won t go away,0
i was reading the melee dps rant below just now and it brought to my attention the reason ive been feeling fairly dissatisfied in raids recently,4
i feel a little sad about it but christmas is hardly on,0
i feel ugly he can smile at me with this look in his eye and i know that not only does he love me but he is still in love with me,0
ill go because it warms my muscles and i always laugh in the midst of our quirky little inter generational exercise family and after six months im a regular which reminds me that ive accomplished the epic feat of no longer feeling in some way intimidated when i go to the gym,5
i want to come out about it but i feel so reluctant for some reason,5
i love those cars and i feel that my second attempt at owning one will be a pleasant one,2
i have wanted to perhaps convey my feelings of a matter instead of my thoughts and have rejected it because i have thought feelings in the matter irrelevant,0
i had on my plate without the stress of feeling completely overwhelmed,1
i felt unfairly treated at an airport,4
i was sitting right next to him and i had a strong feeling that i liked him,3
i am not sure why in that moment that i thought i would be able to feel it hellip but it was pretty funny,1
im feeling cool showing skin and feel like a woman should,2
i feel about strange brew,1
i feel a bit strange saying it,1
i am not sure why i feel the need to share this experience with the world maybe its just that now that its over its actually pretty funny,1
i am a passionate obama supporter but as a woman i feel twinges of guilt at times about the fact that i am not supporting the first woman with a real shot at the presidency,3
im feeling timid six,5
i find myself still feeling curious when i log into sl,1
i feel very shocked i have never expected that would happen to me,1
i finally admit im feeling sorry for myself evar ok i finally admit im feeling sorry for myself if bc,0
i still feel constantly paranoid and anxious i keep wanting to go on facebook to check he hasn t been back on there i keep wanting to go through the texts on his phone i feel edgy when he s at work and want him to come straight home to me,5
i feel lethargic and i find no more reason to move not even a full bladder threatening to burst,0
i feel like this is a dirty confession,0
i wont go on about the anxieties i am feeling about this is being as neurotic as me about this,5
i am standing so close to said cow her name is gabriella btw i feel rude calling her a cow,4
i am feeling pretty homesick this weekend,0
i feel like a neglectful pet owner,0
i feel her longing to be touched and all that but really with the guy who wanted to control you and make you kill other people,3
i feel so complacent and start thinking that i am so smart,2
i feel that way about popular culture,2
i make sure that they feel comfortable and assured that someone is willing to listen to them and support them in things we deem significant to them,2
i am such a private person and although i won t be going into anything too personal i m feeling anxious just writing this,5
i feel amused at the absurdity of it all,2
i am wearing heels i feel more self assured,2
